Employee_Id,Name,Age,Salary,Department,Email,Join_Date,City,Performance_Score
137,Jacob Jackson,41.0,43251.2,Sales,hlewis@harris.com,2021-03-12 00:00:00,Utrecht,2.59
629,Alexandra Henry,64.0,55835.87,Hr,laurawilson@hotmail.com,2017-02-18 00:00:00,Rotterdam,1.37
185,Aaron Hinton,39.0,51648.06,Sales,pachecorichard@yahoo.com,2022-03-30 00:00:00,Amsterdam,1.47
32,Christopher Parker,34.0,82784.17,It,jimmyyoung[at]burton.com,2024-01-21 00:00:00,Utrecht,3.91
678,Lori Manning,55.0,81284.06,Hr,adkinsgeorge@moore-hicks.biz,2017-09-09 00:00:00,Rotterdam,2.58
937,Andrea Davis,35.0,39681.51,Hr,john01@mcfarland-patel.com,2017-12-25 00:00:00,Utrecht,4.96
290,Terry Fernandez,60.0,45659.51,Sales,russellrichardson@yang.com,2023-08-26 00:00:00,The Hague,2.13
328,Cassandra Benton,61.0,66874.94,Sales,dnelson@hotmail.com,2024-04-30 00:00:00,Eindhoven,1.95
492,Amy Smith,25.0,77199.16,It,vpierce@ramirez-alvarez.com,2020-02-03 00:00:00,Amsterdam,3.56
395,Stacey Reese,57.0,72691.6,Marketing,brady37@briggs.biz,2025-10-30 00:00:00,The Hague,4.24
667,Joshua Parrish,55.0,51175.34,Marketing,elizabethromero@hall-miller.net,2021-05-15 00:00:00,The Hague,4.1
546,Samuel Macias,25.0,43046.57,Sales,xmeyer@rice-morales.com,2021-12-12 00:00:00,Amsterdam,2.92
EMP-870,Brandon Chan,33.0,85153.07,Sales,timothyramirez@blackwell.net,2017-12-18 00:00:00,Utrecht,4.34
762,Carolyn Miller,23.0,56830.15,Sales,flemingjames@hotmail.com,2022-06-21 00:00:00,Eindhoven,2.91
77,Rachel Moore,61.0,56305.71,Hr,kochamy@yahoo.com,2023-11-05 00:00:00,Amsterdam,4.04
774,Michelle Garcia,50.0,69588.32,It,heather61@hotmail.com,2026-04-16 00:00:00,Amsterdam,1.99
851,Oscar Mayo,47.0,45652.89,It,jason02@evans.com,2019-08-21 00:00:00,Eindhoven,2.13
332,Thomas Shannon,63.0,41541.18,Sales,sfernandez@ortega.com,2018-06-27 00:00:00,Amsterdam,4.09
630,Nathaniel Franklin,42.0,71412.87,Sales,jamescoleman@brown.com,2021-03-08 00:00:00,The Hague,1.44
969,Dr. Julie Cook,28.0,54397.63,Sales,williamsrobert@gmail.com,2025-05-15 00:00:00,Amsterdam,1.55
EMP-812,Debra Bowers,38.0,48404.03,Marketing,davidhouston@bennett-shaw.org,2024-03-26 00:00:00,Amsterdam,1.39
378,Amy Delgado,54.0,57750.13,Finance,ecarpenter@yahoo.com,2023-02-22 00:00:00,The Hague,2.12
723,Jared Hunter,58.0,34777.22,Sales,amy76@yahoo.com,2019-12-11 00:00:00,Utrecht,1.34
623,Jeremy Williams,44.0,83230.37,Sales,kenneth33@lara.com,2021-09-22 00:00:00,Utrecht,2.15
430,Vanessa Huang,21.0,28618.91,Finance,djennings@holmes.org,2022-12-30 00:00:00,Amsterdam,4.78
917,William Joseph,18.0,64118.45,Marketing,davisheidi@zimmerman.com,2016-12-04 00:00:00,Rotterdam,4.09
87,Angela Hernandez,24.0,68731.03,Finance,xbishop[at]hotmail.com,2025-03-02 00:00:00,The Hague,2.31
319,Kenneth Leon,51.0,59862.5,Sales,rjames[at]phillips-hudson.org,2023-01-16 00:00:00,Rotterdam,4.29
591,Natalie Williams,43.0,56073.49,Marketing,michael17@yahoo.com,2019-10-10 00:00:00,The Hague,2.02
175,Jennifer Taylor,42.0,59150.36,Sales,dannyjohnson@martin.com,2021-08-20 12:00:00,Amsterdam,2.15
209,Kelly White,62.0,62725.72,Sales,savannahmartin@gmail.com,2021-09-07 00:00:00,The Hague,3.38
520,Brittany Fox,20.0,66270.81,Sales,christopher35@gmail.com,2020-02-14 00:00:00,The Hague,3.3
971,Teresa Morgan,58.0,56921.57,Marketing,xscott@le-anderson.biz,2017-01-11 00:00:00,Eindhoven,2.96
954,Joseph Richardson,52.0,76656.47,Hr,denisecardenas@yahoo.com,2019-03-05 00:00:00,Eindhoven,1.78
114,Lindsey Ayala,21.0,91948.63,Sales,moorelauren@griffin.com,2022-03-02 00:00:00,Amsterdam,1.34
440,Norma Lane,42.0,54166.78,It,samanthamarquez@gmail.com,2018-02-20 00:00:00,Rotterdam,2.69
555,Jason Anderson,42.0,60064.04,Finance,tsalas@monroe-roberts.com,2016-07-14 00:00:00,Amsterdam,1.48
540,Michael Carter,36.0,46346.62,Finance,ptaylor@gomez.com,2017-01-05 00:00:00,Amsterdam,1.48
60,Carolyn Watkins,44.0,69633.18,Sales,rebeccaburnett@hotmail.com,2021-11-03 00:00:00,Eindhoven,2.8
549,Nicholas Carroll,34.0,60567.19,It,leeturner@gmail.com,2017-12-16 00:00:00,Amsterdam,4.68
695,Brian Watson,41.0,63896.52,Sales,davidsmith@butler.net,2022-10-21 00:00:00,Eindhoven,2.8
690,Susan Richard,25.0,61663.95,Finance,schultzlinda@yahoo.com,2022-07-28 00:00:00,Rotterdam,4.48
200,Tyler Wolfe,23.0,37855.45,Finance,robertsonmatthew@curtis-taylor.com,2023-05-03 00:00:00,Amsterdam,2.56
779,Danielle Lawson,42.0,53883.5,Marketing,nathan92@hotmail.com,2019-07-11 00:00:00,The Hague,3.12
735,James Brown,38.0,70437.33,Marketing,rodriguezscott@gmail.com,2020-12-23 00:00:00,The Hague,3.14
443,Alison Rowland,41.0,23988.37,Marketing,bryanrose@yahoo.com,2026-01-19 00:00:00,The Hague,3.45
517,Barbara Gutierrez Phd,48.0,62513.76,Marketing,joel40@yahoo.com,2016-06-03 00:00:00,Rotterdam,1.33
948,Melissa Parsons,38.0,44621.38,It,charles52@cannon.com,2024-05-05 00:00:00,Eindhoven,2.59
281,Michael Garza,44.0,56702.76,Marketing,lmckay@hotmail.com,2018-02-19 00:00:00,Amsterdam,1.69
322,Dwayne Mitchell,29.0,63927.36,Hr,vrich@hotmail.com,2025-05-21 00:00:00,Eindhoven,3.63
50,Susan Dixon,25.0,28554.4,Marketing,karigreen@anderson-moran.org,2025-08-20 00:00:00,Eindhoven,3.65
888,Devin Wright,57.0,49610.62,Sales,reedkiara@yahoo.com,2019-10-06 00:00:00,Rotterdam,3.54
110,James Clark,24.0,53883.31,Hr,brandon08@neal.com,2023-10-21 00:00:00,Amsterdam,1.3
981,Brian Pierce,30.0,66787.0,Marketing,wilsonbrenda@gmail.com,2021-08-20 12:00:00,Rotterdam,2.12
891,Trevor Coleman,26.0,67307.23,Marketing,denisebuchanan@stephenson.com,2016-11-01 00:00:00,Utrecht,3.0
